time,favorite,opponent,noBT3_noH2H,noBT3_H2H,logistic3_fav,indexP3_fav,url
22:27:58,Василий Дедов,Александр Ширшов,,,47,54,https://tennis-score.pro/stats/?lp=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%20%D0%A8%D0%B8%D1%80%D1%88%D0%BE%D0%B2&rp=%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9%20%D0%94%D0%B5%D0%B4%D0%BE%D0%B2
22:28:00,Дмитрий Разинков,Михаил Игнатов,,,38,61,https://tennis-score.pro/stats/?lp=%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9%20%D0%A0%D0%B0%D0%B7%D0%B8%D0%BD%D0%BA%D0%BE%D0%B2&rp=%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%20%D0%98%D0%B3%D0%BD%D0%B0%D1%82%D0%BE%D0%B2
22:28:03,Евгений Данилов,Константин Барчуков,,,68,61,https://tennis-score.pro/stats/?lp=%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9%20%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%BE%D0%B2&rp=%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%20%D0%91%D0%B0%D1%80%D1%87%D1%83%D0%BA%D0%BE%D0%B2
22:28:06,Алексей Инназаров,Илья Конашков,,,50,48,https://tennis-score.pro/stats/?lp=%D0%98%D0%BB%D1%8C%D1%8F%20%D0%9A%D0%BE%D0%BD%D0%B0%D1%88%D0%BA%D0%BE%D0%B2&rp=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9%20%D0%98%D0%BD%D0%BD%D0%B0%D0%B7%D0%B0%D1%80%D0%BE%D0%B2
22:28:09,Павел Фурсов,Дмитрий Тихненко,,,51,57,https://tennis-score.pro/stats/?lp=%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB%20%D0%A4%D1%83%D1%80%D1%81%D0%BE%D0%B2&rp=%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9%20%D0%A2%D0%B8%D1%85%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE
22:28:12,Денис Комаров,Александр Рахматов,,,40,61,https://tennis-score.pro/stats/?lp=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%20%D0%A0%D0%B0%D1%85%D0%BC%D0%B0%D1%82%D0%BE%D0%B2&rp=%D0%94%D0%B5%D0%BD%D0%B8%D1%81%20%D0%9A%D0%BE%D0%BC%D0%B0%D1%80%D0%BE%D0%B2
22:28:19,Артур Мороз,Францишек Ястржебовский,,,54,57,https://tennis-score.pro/stats/?lp=%D0%90%D1%80%D1%82%D1%83%D1%80%20%D0%9C%D0%BE%D1%80%D0%BE%D0%B7&rp=%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D1%88%D0%B5%D0%BA%20%D0%AF%D1%81%D1%82%D1%80%D0%B6%D0%B5%D0%B1%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9
22:28:22,Марек Чибински,Гжегож Джез,,,43,55,https://tennis-score.pro/stats/?lp=%D0%93%D0%B6%D0%B5%D0%B3%D0%BE%D0%B6%20%D0%94%D0%B6%D0%B5%D0%B7&rp=%D0%9C%D0%B0%D1%80%D0%B5%D0%BA%20%D0%A7%D0%B8%D0%B1%D0%B8%D0%BD%D1%81%D0%BA%D0%B8
22:28:24,Иржи Целлер,Радек Земан,,,54,60,https://tennis-score.pro/stats/?lp=%D0%98%D1%80%D0%B6%D0%B8%20%D0%A6%D0%B5%D0%BB%D0%BB%D0%B5%D1%80&rp=%D0%A0%D0%B0%D0%B4%D0%B5%D0%BA%20%D0%97%D0%B5%D0%BC%D0%B0%D0%BD
22:28:26,Якоб Мач,Павел Цибик,,,53,36,https://tennis-score.pro/stats/?lp=%D0%AF%D0%BA%D0%BE%D0%B1%20%D0%9C%D0%B0%D1%87&rp=%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB%20%D0%A6%D0%B8%D0%B1%D0%B8%D0%BA
