time,favorite,opponent,noBT3_noH2H,noBT3_H2H,logistic3_fav,indexP3_fav,url
23:28:00,Евгений Данилов,Константин Барчуков,,,62,66,https://tennis-score.pro/stats/?lp=%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9%20%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%BE%D0%B2&rp=%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%20%D0%91%D0%B0%D1%80%D1%87%D1%83%D0%BA%D0%BE%D0%B2
23:28:07,Владимир Климентьев,Олег Мошников,,,41,61,https://tennis-score.pro/stats/?lp=%D0%9E%D0%BB%D0%B5%D0%B3%20%D0%9C%D0%BE%D1%88%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2&rp=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%20%D0%9A%D0%BB%D0%B8%D0%BC%D0%B5%D0%BD%D1%82%D1%8C%D0%B5%D0%B2
23:28:12,Сергей Мартюхин,Илья Конашков,,,54,50,https://tennis-score.pro/stats/?lp=%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9%20%D0%9C%D0%B0%D1%80%D1%82%D1%8E%D1%85%D0%B8%D0%BD&rp=%D0%98%D0%BB%D1%8C%D1%8F%20%D0%9A%D0%BE%D0%BD%D0%B0%D1%88%D0%BA%D0%BE%D0%B2
23:28:15,Денис Комаров,Александр Рахматов,,,37,62,https://tennis-score.pro/stats/?lp=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%20%D0%A0%D0%B0%D1%85%D0%BC%D0%B0%D1%82%D0%BE%D0%B2&rp=%D0%94%D0%B5%D0%BD%D0%B8%D1%81%20%D0%9A%D0%BE%D0%BC%D0%B0%D1%80%D0%BE%D0%B2
23:28:22,Адам Дюк,Веслав Мазурек,,,62,63,https://tennis-score.pro/stats/?lp=%D0%90%D0%B4%D0%B0%D0%BC%20%D0%94%D1%8E%D0%BA&rp=%D0%92%D0%B5%D1%81%D0%BB%D0%B0%D0%B2%20%D0%9C%D0%B0%D0%B7%D1%83%D1%80%D0%B5%D0%BA
23:28:25,Стоек Кэрол,Францишек Ястржебовский,,,47,73,https://tennis-score.pro/stats/?lp=%D0%A1%D1%82%D0%BE%D0%B5%D0%BA%20%D0%9A%D1%8D%D1%80%D0%BE%D0%BB&rp=%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D1%88%D0%B5%D0%BA%20%D0%AF%D1%81%D1%82%D1%80%D0%B6%D0%B5%D0%B1%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9
23:28:29,Иржи Целлер,Марек Дласк,,,48,62,https://tennis-score.pro/stats/?lp=%D0%9C%D0%B0%D1%80%D0%B5%D0%BA%20%D0%94%D0%BB%D0%B0%D1%81%D0%BA&rp=%D0%98%D1%80%D0%B6%D0%B8%20%D0%A6%D0%B5%D0%BB%D0%BB%D0%B5%D1%80
23:28:34,Мартин Тополь,Якоб Мач,,,44,34,https://tennis-score.pro/stats/?lp=%D0%AF%D0%BA%D0%BE%D0%B1%20%D0%9C%D0%B0%D1%87&rp=%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD%20%D0%A2%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C
23:28:36,Ярослав Донал,Яхим Себл,,,61,62,https://tennis-score.pro/stats/?lp=%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%20%D0%94%D0%BE%D0%BD%D0%B0%D0%BB&rp=%D0%AF%D1%85%D0%B8%D0%BC%20%D0%A1%D0%B5%D0%B1%D0%BB
23:28:41,Владислав Бруцкий,Сергей Сапега,,,43,50,https://tennis-score.pro/stats/?lp=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%20%D0%91%D1%80%D1%83%D1%86%D0%BA%D0%B8%D0%B9&rp=%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9%20%D0%A1%D0%B0%D0%BF%D0%B5%D0%B3%D0%B0
23:28:47,Игорь Мартычан,Кирилл Скочеленков,,,58,76,https://tennis-score.pro/stats/?lp=%D0%98%D0%B3%D0%BE%D1%80%D1%8C%20%D0%9C%D0%B0%D1%80%D1%82%D1%8B%D1%87%D0%B0%D0%BD&rp=%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%20%D0%A1%D0%BA%D0%BE%D1%87%D0%B5%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2
