timestamp,favorite,opponent,reason,url
2025-10-14T20:20:25,Юрий Школьников,Владимир Хургин,"GO 3/3, 20:20",https://tennis-score.pro/stats/?alp=19907&arp=19677
2025-10-14T20:20:47,Александр Чулюков,Тимофей Разинков,"GO 3/3, 20:20",https://tennis-score.pro/stats/?alp=6038&arp=15245
2025-10-14T20:21:08,Алексей Зубов,Тарас Кононенко,"PASS 0/3, 20:21",https://tennis-score.pro/stats/?alp=20318&arp=15772
2025-10-14T20:21:29,Константин Атоманчик,Алексей Жук,"PASS 0/3, 20:21",https://tennis-score.pro/stats/?alp=10820&arp=18365
2025-10-14T20:21:51,Максим Мрых,Ярослав Ковшун,"GO 3/3, 20:21",https://tennis-score.pro/stats/?alp=18254&arp=6908
2025-10-14T20:22:09,Аркадиуш Викьера,Лукаш Латала,"PASS 1/3, 20:22",https://tennis-score.pro/stats/?alp=14853&arp=18926
2025-10-14T20:22:30,Ян Фиала,Милош Фридл,"PASS 2/3, 20:22",https://tennis-score.pro/stats/?alp=14724&arp=10268
2025-10-14T20:22:48,Дмитрий Реготун,Александр Найда,"GO 3/3, 20:22",https://tennis-score.pro/stats/?alp=5523&arp=5794
2025-10-14T20:23:08,Анатолий Дулич,Денис Мальцев,"PASS 0/3, 20:23",https://tennis-score.pro/stats/?alp=7276&arp=6974
2025-10-14T20:23:26,Ладислав Хендрих,Мартин Стехлик,"PASS 1/3, 20:23",https://tennis-score.pro/stats/?alp=14572&arp=18025
2025-10-14T20:23:45,Хавьер Бенито,Моисес Альварес,"PASS 2/3, 20:23",https://tennis-score.pro/stats/?alp=18288&arp=7483
2025-10-14T20:24:03,Йинг Демик,Виктор Туркан,"PASS 1/3, 20:24",https://tennis-score.pro/stats/?alp=11799&arp=6042
2025-10-14T20:24:21,Игорь Ковалев,Алексей Наумов,"PASS 0/3, 20:24",https://tennis-score.pro/stats/?alp=6045&arp=6876
2025-10-14T20:24:39,Игорь Матвеев,Сергей Мартюхин,"PASS 1/3, 20:24",https://tennis-score.pro/stats/?alp=6720&arp=5708
2025-10-14T20:24:57,Владимир Гайнюк,Валентин Чумак,"PASS 3/3, 20:24",https://tennis-score.pro/stats/?alp=5544&arp=5520
